Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Depot Air Minum,635,348,2,2012,?pm=U8qtIEp1oxdo3qPQ4hr08g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan,Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 635,00 Juta","Rp. 348,00 Juta",20 %/Tahun,"Rp. 9,00 Juta","Rp. 530,00 Juta",6
Foto Copy,582,66,3,2012,?pm=BPP4H5flZTkJlSlqstHqyg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 582,00 Juta","Rp. 66,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 419,00 Juta",8
Keripik Pisang,75,283,5,2012,?pm=rFb9ZcNmrqz+JFi7bSHF/g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan,Perorangan,5,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 75,00 Juta","Rp. 283,00 Juta",3 %/Tahun,"Rp. 10,00 Juta","Rp. 105,00 Juta",5
Pembuatan Sangkar Burung,62,54,3,2009,?pm=khOYb9P4vNoC3ISc2kyxEQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan,Perorangan,3,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   60,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   40,00 %",Sedang,"Rp. 62,00 Juta","Rp. 54,00 Juta",30 %/Tahun,"Rp. 6,00 Juta","Rp. 56,00 Juta",5
Coping,79,52,6,2009,?pm=Ze4RxmjrnXrR6Uf5hM8KtA==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan,Perorangan,6,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   60,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   40,00 %",Sedang,"Rp. 79,00 Juta","Rp. 52,00 Juta",50 %/Tahun,"Rp. 5,00 Juta","Rp. 70,00 Juta",3
Bata,24,79,6,2009,?pm=MdUw9vJXCW/MzvsLIVtLkQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan,Perorangan,6,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,"Rp. 24,00 Juta","Rp. 79,00 Juta",30 %/Tahun,"Rp. 6,00 Juta","Rp. 60,00 Juta",4
Caping,66,80,4,2009,?pm=nHjoUVXpE5kxQ2QnDSvvFQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan,Perorangan,4,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,"Rp. 66,00 Juta","Rp. 80,00 Juta",40 %/Tahun,"Rp. 8,00 Juta","Rp. 30,00 Juta",3
Topi,127,68,4,2009,?pm=0NMdhorKtsa3f9+SN++ZQw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan,Perorangan,4,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 127,00 Juta","Rp. 68,00 Juta",10 %/Tahun,"Rp. 6,00 Juta","Rp. 60,00 Juta",4
Percetakan,"128,5",285,1,2008,?pm=D9ztW2yUemdXc8/s64kVCA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 128,50 Juta","Rp. 285,00 Juta",25 %/Tahun,"Rp. 0,00 Juta","Rp. 120,00 Juta",7
Manik,139.100.000,24.600.000,1,2013,?pm=z3rBG7RpiFrWETNQ1gifxA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %",Rendah,"Rp. 139.100.000,00 Juta","Rp. 24.600.000,00 Juta",10 %/Tahun,"Rp. 3,00 Juta","Rp. 160,00 Juta",3
Tenun,164.200.000,59.000.000,1,2013,?pm=+Ue5dDFchIsQhg+e3VFbXA==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   60,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   40,00 %",Tinggi,"Rp. 164.200.000,00 Juta","Rp. 59.000.000,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 70,00 Juta",3
Tenun,116.950.000,52.000.000,1,2013,?pm=InCul0835rm6//zQusdC7w==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   80,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   20,00 %",Sedang,"Rp. 116.950.000,00 Juta","Rp. 52.000.000,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 7,00 Juta",2
Tenun,99.700.000,52.000.000,1,2013,?pm=n4Bvy9ELgvThffJhXZchxw==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 99.700.000,00 Juta","Rp. 52.000.000,00 Juta",10 %/Tahun,"Rp. 10,00 Juta","Rp. 90,00 Juta",3
Tenun,127.650.000,45.600.000,1,2013,?pm=PWIzN6Q4jIOa4mzGe2NZCg==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %",Rendah,"Rp. 127.650.000,00 Juta","Rp. 45.600.000,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 60,00 Juta",3
